,Time,C3,C4,Cz,FC1,FC2,FC5,FC6,CP1,CP2,CP5,CP6
24,-0.008,-6.975534918654221e-06,2.009938480193404e-05,-3.7058760934545327e-06,3.140720585330984e-05,2.2956775346698365e-06,5.870635346059067e-07,4.610136309926647e-06,-1.6582802381567674e-07,-7.310780983587833e-06,-9.63497513172002e-06,-4.843500083305314e-07
25,0.0,-5.940832375859753e-06,1.3067905777513686e-05,-3.16424495470246e-06,2.541473870017106e-05,1.566635929801989e-06,2.5053632525361548e-06,7.326138188499846e-06,7.986549440218824e-07,-6.015936590805891e-06,-1.1313507275015451e-06,-1.3998597603134842e-06
26,0.008,-8.575384910133004e-06,7.841277690092497e-06,-2.8223801511346757e-06,2.129117888290631e-05,2.6814354918526796e-06,3.53856537538236e-06,8.792139194123899e-06,1.4678011811017724e-06,-4.649247607929027e-06,3.945874649155573e-06,-3.729602560669979e-06
27,0.016,-1.1739815284667934e-05,1.0430490346840356e-05,-2.4501482359735007e-06,2.0436405177471648e-05,3.5730164855305254e-06,2.1481455534210874e-06,6.410880097135081e-06,1.5717379354527764e-06,-3.2831885524322936e-06,9.717996938124249e-07,-3.7144305450114118e-06
28,0.024,-1.2651205547500261e-05,1.671319607607944e-05,-2.8372963910726658e-06,1.6943808392287315e-05,3.5991457008871126e-06,2.321407412741296e-06,7.013048118402071e-06,8.09697037624673e-07,4.545845814667735e-07,-6.473988025249407e-06,-3.088160046247645e-06
29,0.032,-1.193687410595216e-05,1.8246790249483115e-05,-3.5669172986016263e-06,1.5197111448847508e-05,4.55962727580207e-06,4.425799954664742e-06,1.0799677289209369e-05,9.237040840342214e-08,3.5418499739381144e-06,-1.3820490281237568e-05,-4.541257242439312e-06
30,0.04,-1.1821130371303751e-05,1.3928685408649754e-05,-3.186849465252353e-06,2.072971684148845e-05,6.435741867372725e-06,4.819317069202788e-06,1.1488948084752517e-05,8.290206528367062e-09,9.224256488192416e-07,-1.9918464393088554e-05,-4.883130906819038e-06
31,0.048,-1.2428479184833523e-05,8.424191030229053e-06,-2.1336567961565905e-06,2.4556561874590806e-05,7.263990339307791e-06,4.150258327687957e-06,1.0525247051385797e-05,5.760503249707313e-07,-4.718510048568606e-06,-2.4207321896930742e-05,-1.604543921071602e-06
32,0.056,-1.1475570595271862e-05,5.711978529791881e-06,-2.059572168890541e-06,2.019635487620867e-05,6.613625294598258e-06,4.422662027894862e-06,1.1040524536796183e-05,2.100714385627187e-06,-8.407600837012494e-06,-2.5811177328631838e-05,1.94763262114238e-06
33,0.064,-8.965606583455905e-06,7.256709468218095e-06,-2.482900430897423e-06,1.5148504964581064e-05,5.2742284577561756e-06,4.783831226587413e-06,1.135755800370463e-05,3.660555360820563e-06,-1.1202330827608127e-05,-2.506899024913444e-05,3.6169475200000953e-06
34,0.072,-7.632509041138296e-06,1.1287120686267055e-05,-1.9313645548192556e-06,1.3340521721747763e-05,3.5794038313619033e-06,5.438126335362964e-06,1.2259903439808662e-05,4.168612876442586e-06,-1.3909277656182148e-05,-2.28934596878831e-05,4.965664881403001e-06
35,0.08,-8.511804947601003e-06,1.4386864695300638e-05,-1.5342522848949223e-06,1.1596617578039656e-05,2.4055195233066876e-06,6.1652078421310565e-06,1.3646384109632867e-05,4.1724384785837625e-06,-1.2614047507849835e-05,-1.9963917254079517e-05,5.660131262769353e-06
36,0.088,-1.0294307836578138e-05,1.4165396034173594e-05,-2.39903526575173e-06,1.2081009178101977e-05,2.901290577931091e-06,4.6662001125918235e-06,1.145834055117058e-05,3.442723523850535e-06,-8.545533561751263e-06,-1.8305175434143495e-05,4.715465062709676e-06
37,0.096,-1.0800936526040115e-05,9.811038200178182e-06,-2.2107045148376397e-06,1.6316548103587467e-05,4.6200351299134425e-06,2.6348547495189085e-06,7.939761022751425e-06,1.5688013868088081e-06,-1.1084088883044363e-05,-2.0408798938850456e-05,3.560120903138301e-06
38,0.104,-9.245009542292438e-06,4.690134202396522e-06,-3.86453851111144e-07,1.8811278847065914e-05,6.473496188996725e-06,3.2117697635974805e-06,8.034249607493926e-06,2.0839755412733233e-07,-2.1893923646167476e-05,-2.5008822867768372e-05,2.136418939821509e-06
39,0.112,-8.811633595173812e-06,5.510442444704435e-06,-6.879288326665384e-07,1.811491265203343e-05,7.936560819120039e-06,3.5254929659273962e-06,8.226536844343653e-06,-7.450881376514439e-07,-2.849392379585148e-05,-2.7767661105149076e-05,-4.784117530112425e-07
40,0.12,-1.093342538554048e-05,1.285522242964773e-05,-3.693908171193354e-06,1.711288177564675e-05,7.970690771424119e-06,1.1110855947238512e-06,5.245210636742685e-06,-3.0491482387579687e-06,-2.3704981519516713e-05,-2.6491376033730698e-05,-2.2078481314324117e-06
41,0.128,-1.0568025030308565e-05,1.970484980877137e-05,-5.225339647792794e-06,1.3694893228463769e-05,5.9895374772904005e-06,-1.7595316541480003e-07,3.576935090059721e-06,-4.387295403386722e-06,-1.7571581348849277e-05,-2.2454257993166878e-05,-2.0680960583587325e-06
42,0.136,-6.793989987527127e-06,2.227009899205247e-05,-4.3535016673868706e-06,7.856879710034506e-06,3.6165640574223816e-06,1.5475463150323302e-06,5.539620066584221e-06,-2.475074291856691e-06,-2.032247554371005e-05,-1.80912210487986e-05,-1.2396939952988318e-06
43,0.144,-6.645998077593443e-06,2.3206011096461848e-05,-3.8872732419848256e-06,6.650147215952924e-06,2.4257602182477178e-06,2.543387965571766e-06,7.272182014523914e-06,-9.514188467052732e-07,-2.6859239200777775e-05,-1.4628024944805127e-05,9.862777684698384e-07
44,0.152,-1.079959359005869e-05,2.5626092426623645e-05,-4.60239255587095e-06,1.1142661195026762e-05,2.1798214140524587e-06,8.041685148674912e-07,5.7217617170149916e-06,-2.7821061946762553e-06,-2.6895242978088044e-05,-1.1621042053164097e-05,2.7769452846413238e-06
